description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
gems release gsy from stack of x6 zsy	1			0	18	70	6		1	zsy							zsy,qty=5																													gsy																																																										0
gems release gsy from stack of x5 zsy	1			0	18	70	5		1	zsy							zsy,qty=4																													gsy																																																										0
gems release gsy from stack of x4 zsy	1			0	18	70	4		1	zsy							zsy,qty=3																													gsy																																																										0
gems release gsy from stack of x3 zsy	1			0	18	70	3		1	zsy							zsy,qty=2																													gsy																																																										0
gems release gsy from stack of x2 zsy	1			0	18	70	2		1	zsy							zsy,qty=1																													gsy																																																										0
gems gly -> stackable zly	1			0					1	gly							zly																																																																																							0
gems stackable zly -> gly	1			0	18	70	1		1	zly							gly																																																																																							0
gems release gly from stack of x48 zly	1			0	18	70	48		1	zly							zly,qty=47																													gly																																																										0
gems release gly from stack of x47 zly	1			0	18	70	47		1	zly							zly,qty=46																													gly																																																										0
gems release gly from stack of x46 zly	1			0	18	70	46		1	zly							zly,qty=45																													gly																																																										0
gems release gly from stack of x45 zly	1			0	18	70	45		1	zly							zly,qty=44																													gly																																																										0
gems release gly from stack of x44 zly	1			0	18	70	44		1	zly							zly,qty=43																													gly																																																										0
gems release gly from stack of x43 zly	1			0	18	70	43		1	zly							zly,qty=42																													gly																																																										0
gems release gly from stack of x42 zly	1			0	18	70	42		1	zly							zly,qty=41																													gly																																																										0
gems release gly from stack of x41 zly	1			0	18	70	41		1	zly							zly,qty=40																													gly																																																										0
gems release gly from stack of x40 zly	1			0	18	70	40		1	zly							zly,qty=39																													gly																																																										0
gems release gly from stack of x39 zly	1			0	18	70	39		1	zly							zly,qty=38																													gly																																																										0
gems release gly from stack of x38 zly	1			0	18	70	38		1	zly							zly,qty=37																													gly																																																										0
gems release gly from stack of x37 zly	1			0	18	70	37		1	zly							zly,qty=36																													gly																																																										0
gems release gly from stack of x36 zly	1			0	18	70	36		1	zly							zly,qty=35																													gly																																																										0
gems release gly from stack of x35 zly	1			0	18	70	35		1	zly							zly,qty=34																													gly																																																										0
gems release gly from stack of x34 zly	1			0	18	70	34		1	zly							zly,qty=33																													gly																																																										0
gems release gly from stack of x33 zly	1			0	18	70	33		1	zly							zly,qty=32																													gly																																																										0
gems release gly from stack of x32 zly	1			0	18	70	32		1	zly							zly,qty=31																													gly																																																										0
gems release gly from stack of x31 zly	1			0	18	70	31		1	zly							zly,qty=30																													gly																																																										0
gems release gly from stack of x30 zly	1			0	18	70	30		1	zly							zly,qty=29																													gly																																																										0
gems release gly from stack of x29 zly	1			0	18	70	29		1	zly							zly,qty=28																													gly																																																										0
gems release gly from stack of x28 zly	1			0	18	70	28		1	zly							zly,qty=27																													gly																																																										0
gems release gly from stack of x27 zly	1			0	18	70	27		1	zly							zly,qty=26																													gly																																																										0
gems release gly from stack of x26 zly	1			0	18	70	26		1	zly							zly,qty=25																													gly																																																										0
gems release gly from stack of x25 zly	1			0	18	70	25		1	zly							zly,qty=24																													gly																																																										0
gems release gly from stack of x24 zly	1			0	18	70	24		1	zly							zly,qty=23																													gly																																																										0
gems release gly from stack of x23 zly	1			0	18	70	23		1	zly							zly,qty=22																													gly																																																										0
gems release gly from stack of x22 zly	1			0	18	70	22		1	zly							zly,qty=21																													gly																																																										0
gems release gly from stack of x21 zly	1			0	18	70	21		1	zly							zly,qty=20																													gly																																																										0
gems release gly from stack of x20 zly	1			0	18	70	20		1	zly							zly,qty=19																													gly																																																										0
gems release gly from stack of x19 zly	1			0	18	70	19		1	zly							zly,qty=18																													gly																																																										0
gems release gly from stack of x18 zly	1			0	18	70	18		1	zly							zly,qty=17																													gly																																																										0
gems release gly from stack of x17 zly	1			0	18	70	17		1	zly							zly,qty=16																													gly																																																										0
gems release gly from stack of x16 zly	1			0	18	70	16		1	zly							zly,qty=15																													gly																																																										0
gems release gly from stack of x15 zly	1			0	18	70	15		1	zly							zly,qty=14																													gly																																																										0
gems release gly from stack of x14 zly	1			0	18	70	14		1	zly							zly,qty=13																													gly																																																										0
gems release gly from stack of x13 zly	1			0	18	70	13		1	zly							zly,qty=12																													gly																																																										0
gems release gly from stack of x12 zly	1			0	18	70	12		1	zly							zly,qty=11																													gly																																																										0
gems release gly from stack of x11 zly	1			0	18	70	11		1	zly							zly,qty=10																													gly																																																										0
gems release gly from stack of x10 zly	1			0	18	70	10		1	zly							zly,qty=9																													gly																																																										0
gems release gly from stack of x9 zly	1			0	18	70	9		1	zly							zly,qty=8																													gly																																																										0
gems release gly from stack of x8 zly	1			0	18	70	8		1	zly							zly,qty=7																													gly																																																										0
gems release gly from stack of x7 zly	1			0	18	70	7		1	zly							zly,qty=6																													gly																																																										0
gems release gly from stack of x6 zly	1			0	18	70	6		1	zly							zly,qty=5																													gly																																																										0
gems release gly from stack of x5 zly	1			0	18	70	5		1	zly							zly,qty=4																													gly																																																										0
gems release gly from stack of x4 zly	1			0	18	70	4		1	zly							zly,qty=3																													gly																																																										0
gems release gly from stack of x3 zly	1			0	18	70	3		1	zly							zly,qty=2																													gly																																																										0
gems release gly from stack of x2 zly	1			0	18	70	2		1	zly							zly,qty=1																													gly																																																										0
gems gpy -> stackable zpy	1			0					1	gpy							zpy																																																																																							0
gems stackable zpy -> gpy	1			0	18	70	1		1	zpy							gpy																																																																																							0
gems release gpy from stack of x48 zpy	1			0	18	70	48		1	zpy							zpy,qty=47																													gpy																																																										0
gems release gpy from stack of x47 zpy	1			0	18	70	47		1	zpy							zpy,qty=46																													gpy																																																										0
gems release gpy from stack of x46 zpy	1			0	18	70	46		1	zpy							zpy,qty=45																													gpy																																																										0
gems release gpy from stack of x45 zpy	1			0	18	70	45		1	zpy							zpy,qty=44																													gpy																																																										0
gems release gpy from stack of x44 zpy	1			0	18	70	44		1	zpy							zpy,qty=43																													gpy																																																										0
gems release gpy from stack of x43 zpy	1			0	18	70	43		1	zpy							zpy,qty=42																													gpy																																																										0
gems release gpy from stack of x42 zpy	1			0	18	70	42		1	zpy							zpy,qty=41																													gpy																																																										0
gems release gpy from stack of x41 zpy	1			0	18	70	41		1	zpy							zpy,qty=40																													gpy																																																										0
gems release gpy from stack of x40 zpy	1			0	18	70	40		1	zpy							zpy,qty=39																													gpy																																																										0
gems release gpy from stack of x39 zpy	1			0	18	70	39		1	zpy							zpy,qty=38																													gpy																																																										0
gems release gpy from stack of x38 zpy	1			0	18	70	38		1	zpy							zpy,qty=37																													gpy																																																										0
gems release gpy from stack of x37 zpy	1			0	18	70	37		1	zpy							zpy,qty=36																													gpy																																																										0
gems release gpy from stack of x36 zpy	1			0	18	70	36		1	zpy							zpy,qty=35																													gpy																																																										0
gems release gpy from stack of x35 zpy	1			0	18	70	35		1	zpy							zpy,qty=34																													gpy																																																										0
gems release gpy from stack of x34 zpy	1			0	18	70	34		1	zpy							zpy,qty=33																													gpy																																																										0
gems release gpy from stack of x33 zpy	1			0	18	70	33		1	zpy							zpy,qty=32																													gpy																																																										0
gems release gpy from stack of x32 zpy	1			0	18	70	32		1	zpy							zpy,qty=31																													gpy																																																										0
gems release gpy from stack of x31 zpy	1			0	18	70	31		1	zpy							zpy,qty=30																													gpy																																																										0
gems release gpy from stack of x30 zpy	1			0	18	70	30		1	zpy							zpy,qty=29																													gpy																																																										0
gems release gpy from stack of x29 zpy	1			0	18	70	29		1	zpy							zpy,qty=28																													gpy																																																										0
gems release gpy from stack of x28 zpy	1			0	18	70	28		1	zpy							zpy,qty=27																													gpy																																																										0
gems release gpy from stack of x27 zpy	1			0	18	70	27		1	zpy							zpy,qty=26																													gpy																																																										0
gems release gpy from stack of x26 zpy	1			0	18	70	26		1	zpy							zpy,qty=25																													gpy																																																										0
gems release gpy from stack of x25 zpy	1			0	18	70	25		1	zpy							zpy,qty=24																													gpy																																																										0
gems release gpy from stack of x24 zpy	1			0	18	70	24		1	zpy							zpy,qty=23																													gpy																																																										0
gems release gpy from stack of x23 zpy	1			0	18	70	23		1	zpy							zpy,qty=22																													gpy																																																										0
gems release gpy from stack of x22 zpy	1			0	18	70	22		1	zpy							zpy,qty=21																													gpy																																																										0
gems release gpy from stack of x21 zpy	1			0	18	70	21		1	zpy							zpy,qty=20																													gpy																																																										0
gems release gpy from stack of x20 zpy	1			0	18	70	20		1	zpy							zpy,qty=19																													gpy																																																										0
gems release gpy from stack of x19 zpy	1			0	18	70	19		1	zpy							zpy,qty=18																													gpy																																																										0
gems release gpy from stack of x18 zpy	1			0	18	70	18		1	zpy							zpy,qty=17																													gpy																																																										0
gems release gpy from stack of x17 zpy	1			0	18	70	17		1	zpy							zpy,qty=16																													gpy																																																										0
gems release gpy from stack of x16 zpy	1			0	18	70	16		1	zpy							zpy,qty=15																													gpy																																																										0
gems release gpy from stack of x15 zpy	1			0	18	70	15		1	zpy							zpy,qty=14																													gpy																																																										0
gems release gpy from stack of x14 zpy	1			0	18	70	14		1	zpy							zpy,qty=13																													gpy																																																										0
gems release gpy from stack of x13 zpy	1			0	18	70	13		1	zpy							zpy,qty=12																													gpy																																																										0
gems release gpy from stack of x12 zpy	1			0	18	70	12		1	zpy							zpy,qty=11																													gpy																																																										0
gems release gpy from stack of x11 zpy	1			0	18	70	11		1	zpy							zpy,qty=10																													gpy																																																										0
gems release gpy from stack of x10 zpy	1			0	18	70	10		1	zpy							zpy,qty=9																													gpy																																																										0
gems release gpy from stack of x9 zpy	1			0	18	70	9		1	zpy							zpy,qty=8																													gpy																																																										0
gems release gpy from stack of x8 zpy	1			0	18	70	8		1	zpy							zpy,qty=7																													gpy																																																										0
gems release gpy from stack of x7 zpy	1			0	18	70	7		1	zpy							zpy,qty=6																													gpy																																																										0
gems release gpy from stack of x6 zpy	1			0	18	70	6		1	zpy							zpy,qty=5																													gpy																																																										0
gems release gpy from stack of x5 zpy	1			0	18	70	5		1	zpy							zpy,qty=4																													gpy																																																										0
gems release gpy from stack of x4 zpy	1			0	18	70	4		1	zpy							zpy,qty=3																													gpy																																																										0
gems release gpy from stack of x3 zpy	1			0	18	70	3		1	zpy							zpy,qty=2																													gpy																																																										0
gems release gpy from stack of x2 zpy	1			0	18	70	2		1	zpy							zpy,qty=1																													gpy																																																										0
gems gcb -> stackable zcb	1			0					1	gcb							zcb																																																																																							0
gems stackable zcb -> gcb	1			0	18	70	1		1	zcb							gcb																																																																																							0
gems release gcb from stack of x48 zcb	1			0	18	70	48		1	zcb							zcb,qty=47																													gcb																																																										0
gems release gcb from stack of x47 zcb	1			0	18	70	47		1	zcb							zcb,qty=46																													gcb																																																										0
gems release gcb from stack of x46 zcb	1			0	18	70	46		1	zcb							zcb,qty=45																													gcb																																																										0
gems release gcb from stack of x45 zcb	1			0	18	70	45		1	zcb							zcb,qty=44																													gcb																																																										0
gems release gcb from stack of x44 zcb	1			0	18	70	44		1	zcb							zcb,qty=43																													gcb																																																										0
gems release gcb from stack of x43 zcb	1			0	18	70	43		1	zcb							zcb,qty=42																													gcb																																																										0
gems release gcb from stack of x42 zcb	1			0	18	70	42		1	zcb							zcb,qty=41																													gcb																																																										0
gems release gcb from stack of x41 zcb	1			0	18	70	41		1	zcb							zcb,qty=40																													gcb																																																										0
gems release gcb from stack of x40 zcb	1			0	18	70	40		1	zcb							zcb,qty=39																													gcb																																																										0
gems release gcb from stack of x39 zcb	1			0	18	70	39		1	zcb							zcb,qty=38																													gcb																																																										0
gems release gcb from stack of x38 zcb	1			0	18	70	38		1	zcb							zcb,qty=37																													gcb																																																										0
gems release gcb from stack of x37 zcb	1			0	18	70	37		1	zcb							zcb,qty=36																													gcb																																																										0
gems release gcb from stack of x36 zcb	1			0	18	70	36		1	zcb							zcb,qty=35																													gcb																																																										0
gems release gcb from stack of x35 zcb	1			0	18	70	35		1	zcb							zcb,qty=34																													gcb																																																										0
gems release gcb from stack of x34 zcb	1			0	18	70	34		1	zcb							zcb,qty=33																													gcb																																																										0
gems release gcb from stack of x33 zcb	1			0	18	70	33		1	zcb							zcb,qty=32																													gcb																																																										0
gems release gcb from stack of x32 zcb	1			0	18	70	32		1	zcb							zcb,qty=31																													gcb																																																										0
gems release gcb from stack of x31 zcb	1			0	18	70	31		1	zcb							zcb,qty=30																													gcb																																																										0
gems release gcb from stack of x30 zcb	1			0	18	70	30		1	zcb							zcb,qty=29																													gcb																																																										0
gems release gcb from stack of x29 zcb	1			0	18	70	29		1	zcb							zcb,qty=28																													gcb																																																										0
gems release gcb from stack of x28 zcb	1			0	18	70	28		1	zcb							zcb,qty=27																													gcb																																																										0
gems release gcb from stack of x27 zcb	1			0	18	70	27		1	zcb							zcb,qty=26																													gcb																																																										0
gems release gcb from stack of x26 zcb	1			0	18	70	26		1	zcb							zcb,qty=25																													gcb																																																										0
gems release gcb from stack of x25 zcb	1			0	18	70	25		1	zcb							zcb,qty=24																													gcb																																																										0
gems release gcb from stack of x24 zcb	1			0	18	70	24		1	zcb							zcb,qty=23																													gcb																																																										0
gems release gcb from stack of x23 zcb	1			0	18	70	23		1	zcb							zcb,qty=22																													gcb																																																										0
gems release gcb from stack of x22 zcb	1			0	18	70	22		1	zcb							zcb,qty=21																													gcb																																																										0
gems release gcb from stack of x21 zcb	1			0	18	70	21		1	zcb							zcb,qty=20																													gcb																																																										0
gems release gcb from stack of x20 zcb	1			0	18	70	20		1	zcb							zcb,qty=19																													gcb																																																										0
gems release gcb from stack of x19 zcb	1			0	18	70	19		1	zcb							zcb,qty=18																													gcb																																																										0
gems release gcb from stack of x18 zcb	1			0	18	70	18		1	zcb							zcb,qty=17																													gcb																																																										0
gems release gcb from stack of x17 zcb	1			0	18	70	17		1	zcb							zcb,qty=16																													gcb																																																										0
gems release gcb from stack of x16 zcb	1			0	18	70	16		1	zcb							zcb,qty=15																													gcb																																																										0
gems release gcb from stack of x15 zcb	1			0	18	70	15		1	zcb							zcb,qty=14																													gcb																																																										0
gems release gcb from stack of x14 zcb	1			0	18	70	14		1	zcb							zcb,qty=13																													gcb																																																										0
gems release gcb from stack of x13 zcb	1			0	18	70	13		1	zcb							zcb,qty=12																													gcb																																																										0
gems release gcb from stack of x12 zcb	1			0	18	70	12		1	zcb							zcb,qty=11																													gcb																																																										0
gems release gcb from stack of x11 zcb	1			0	18	70	11		1	zcb							zcb,qty=10																													gcb																																																										0
gems release gcb from stack of x10 zcb	1			0	18	70	10		1	zcb							zcb,qty=9																													gcb																																																										0
gems release gcb from stack of x9 zcb	1			0	18	70	9		1	zcb							zcb,qty=8																													gcb																																																										0
gems release gcb from stack of x8 zcb	1			0	18	70	8		1	zcb							zcb,qty=7																													gcb																																																										0
gems release gcb from stack of x7 zcb	1			0	18	70	7		1	zcb							zcb,qty=6																													gcb																																																										0
gems release gcb from stack of x6 zcb	1			0	18	70	6		1	zcb							zcb,qty=5																													gcb																																																										0
gems release gcb from stack of x5 zcb	1			0	18	70	5		1	zcb							zcb,qty=4																													gcb																																																										0
gems release gcb from stack of x4 zcb	1			0	18	70	4		1	zcb							zcb,qty=3																													gcb																																																										0
gems release gcb from stack of x3 zcb	1			0	18	70	3		1	zcb							zcb,qty=2																													gcb																																																										0
gems release gcb from stack of x2 zcb	1			0	18	70	2		1	zcb							zcb,qty=1																													gcb																																																										0
gems gfb -> stackable zfb	1			0					1	gfb							zfb																																																																																							0
gems stackable zfb -> gfb	1			0	18	70	1		1	zfb							gfb																																																																																							0
gems release gfb from stack of x48 zfb	1			0	18	70	48		1	zfb							zfb,qty=47																													gfb																																																										0
gems release gfb from stack of x47 zfb	1			0	18	70	47		1	zfb							zfb,qty=46																													gfb																																																										0
gems release gfb from stack of x46 zfb	1			0	18	70	46		1	zfb							zfb,qty=45																													gfb																																																										0
gems release gfb from stack of x45 zfb	1			0	18	70	45		1	zfb							zfb,qty=44																													gfb																																																										0
gems release gfb from stack of x44 zfb	1			0	18	70	44		1	zfb							zfb,qty=43																													gfb																																																										0
gems release gfb from stack of x43 zfb	1			0	18	70	43		1	zfb							zfb,qty=42																													gfb																																																										0
gems release gfb from stack of x42 zfb	1			0	18	70	42		1	zfb							zfb,qty=41																													gfb																																																										0
gems release gfb from stack of x41 zfb	1			0	18	70	41		1	zfb							zfb,qty=40																													gfb																																																										0
gems release gfb from stack of x40 zfb	1			0	18	70	40		1	zfb							zfb,qty=39																													gfb																																																										0
gems release gfb from stack of x39 zfb	1			0	18	70	39		1	zfb							zfb,qty=38																													gfb																																																										0
gems release gfb from stack of x38 zfb	1			0	18	70	38		1	zfb							zfb,qty=37																													gfb																																																										0
gems release gfb from stack of x37 zfb	1			0	18	70	37		1	zfb							zfb,qty=36																													gfb																																																										0
gems release gfb from stack of x36 zfb	1			0	18	70	36		1	zfb							zfb,qty=35																													gfb																																																										0
gems release gfb from stack of x35 zfb	1			0	18	70	35		1	zfb							zfb,qty=34																													gfb																																																										0
gems release gfb from stack of x34 zfb	1			0	18	70	34		1	zfb							zfb,qty=33																													gfb																																																										0
gems release gfb from stack of x33 zfb	1			0	18	70	33		1	zfb							zfb,qty=32																													gfb																																																										0
gems release gfb from stack of x32 zfb	1			0	18	70	32		1	zfb							zfb,qty=31																													gfb																																																										0
gems release gfb from stack of x31 zfb	1			0	18	70	31		1	zfb							zfb,qty=30																													gfb																																																										0
gems release gfb from stack of x30 zfb	1			0	18	70	30		1	zfb							zfb,qty=29																													gfb																																																										0
gems release gfb from stack of x29 zfb	1			0	18	70	29		1	zfb							zfb,qty=28																													gfb																																																										0
gems release gfb from stack of x28 zfb	1			0	18	70	28		1	zfb							zfb,qty=27																													gfb																																																										0
gems release gfb from stack of x27 zfb	1			0	18	70	27		1	zfb							zfb,qty=26																													gfb																																																										0
gems release gfb from stack of x26 zfb	1			0	18	70	26		1	zfb							zfb,qty=25																													gfb																																																										0
gems release gfb from stack of x25 zfb	1			0	18	70	25		1	zfb							zfb,qty=24																													gfb																																																										0
gems release gfb from stack of x24 zfb	1			0	18	70	24		1	zfb							zfb,qty=23																													gfb																																																										0
gems release gfb from stack of x23 zfb	1			0	18	70	23		1	zfb							zfb,qty=22																													gfb																																																										0
gems release gfb from stack of x22 zfb	1			0	18	70	22		1	zfb							zfb,qty=21																													gfb																																																										0
gems release gfb from stack of x21 zfb	1			0	18	70	21		1	zfb							zfb,qty=20																													gfb																																																										0
gems release gfb from stack of x20 zfb	1			0	18	70	20		1	zfb							zfb,qty=19																													gfb																																																										0
gems release gfb from stack of x19 zfb	1			0	18	70	19		1	zfb							zfb,qty=18																													gfb																																																										0
gems release gfb from stack of x18 zfb	1			0	18	70	18		1	zfb							zfb,qty=17																													gfb																																																										0
gems release gfb from stack of x17 zfb	1			0	18	70	17		1	zfb							zfb,qty=16																													gfb																																																										0
gems release gfb from stack of x16 zfb	1			0	18	70	16		1	zfb							zfb,qty=15																													gfb																																																										0
gems release gfb from stack of x15 zfb	1			0	18	70	15		1	zfb							zfb,qty=14																													gfb																																																										0
gems release gfb from stack of x14 zfb	1			0	18	70	14		1	zfb							zfb,qty=13																													gfb																																																										0
gems release gfb from stack of x13 zfb	1			0	18	70	13		1	zfb							zfb,qty=12																													gfb																																																										0
gems release gfb from stack of x12 zfb	1			0	18	70	12		1	zfb							zfb,qty=11																													gfb																																																										0
gems release gfb from stack of x11 zfb	1			0	18	70	11		1	zfb							zfb,qty=10																													gfb																																																										0
gems release gfb from stack of x10 zfb	1			0	18	70	10		1	zfb							zfb,qty=9																													gfb																																																										0
gems release gfb from stack of x9 zfb	1			0	18	70	9		1	zfb							zfb,qty=8																													gfb																																																										0
gems release gfb from stack of x8 zfb	1			0	18	70	8		1	zfb							zfb,qty=7																													gfb																																																										0
gems release gfb from stack of x7 zfb	1			0	18	70	7		1	zfb							zfb,qty=6																													gfb																																																										0
gems release gfb from stack of x6 zfb	1			0	18	70	6		1	zfb							zfb,qty=5																													gfb																																																										0
gems release gfb from stack of x5 zfb	1			0	18	70	5		1	zfb							zfb,qty=4																													gfb																																																										0
gems release gfb from stack of x4 zfb	1			0	18	70	4		1	zfb							zfb,qty=3																													gfb																																																										0
gems release gfb from stack of x3 zfb	1			0	18	70	3		1	zfb							zfb,qty=2																													gfb																																																										0
gems release gfb from stack of x2 zfb	1			0	18	70	2		1	zfb							zfb,qty=1																													gfb																																																										0
gems gsb -> stackable zsb	1			0					1	gsb							zsb																																																																																							0
gems stackable zsb -> gsb	1			0	18	70	1		1	zsb							gsb																																																																																							0
gems release gsb from stack of x48 zsb	1			0	18	70	48		1	zsb							zsb,qty=47																													gsb																																																										0
gems release gsb from stack of x47 zsb	1			0	18	70	47		1	zsb							zsb,qty=46																													gsb																																																										0
gems release gsb from stack of x46 zsb	1			0	18	70	46		1	zsb							zsb,qty=45																													gsb																																																										0
gems release gsb from stack of x45 zsb	1			0	18	70	45		1	zsb							zsb,qty=44																													gsb																																																										0
gems release gsb from stack of x44 zsb	1			0	18	70	44		1	zsb							zsb,qty=43																													gsb																																																										0
gems release gsb from stack of x43 zsb	1			0	18	70	43		1	zsb							zsb,qty=42																													gsb																																																										0
gems release gsb from stack of x42 zsb	1			0	18	70	42		1	zsb							zsb,qty=41																													gsb																																																										0
gems release gsb from stack of x41 zsb	1			0	18	70	41		1	zsb							zsb,qty=40																													gsb																																																										0
gems release gsb from stack of x40 zsb	1			0	18	70	40		1	zsb							zsb,qty=39																													gsb																																																										0
gems release gsb from stack of x39 zsb	1			0	18	70	39		1	zsb							zsb,qty=38																													gsb																																																										0
gems release gsb from stack of x38 zsb	1			0	18	70	38		1	zsb							zsb,qty=37																													gsb																																																										0
gems release gsb from stack of x37 zsb	1			0	18	70	37		1	zsb							zsb,qty=36																													gsb																																																										0
gems release gsb from stack of x36 zsb	1			0	18	70	36		1	zsb							zsb,qty=35																													gsb																																																										0
gems release gsb from stack of x35 zsb	1			0	18	70	35		1	zsb							zsb,qty=34																													gsb																																																										0
gems release gsb from stack of x34 zsb	1			0	18	70	34		1	zsb							zsb,qty=33																													gsb																																																										0
gems release gsb from stack of x33 zsb	1			0	18	70	33		1	zsb							zsb,qty=32																													gsb																																																										0
gems release gsb from stack of x32 zsb	1			0	18	70	32		1	zsb							zsb,qty=31																													gsb																																																										0
gems release gsb from stack of x31 zsb	1			0	18	70	31		1	zsb							zsb,qty=30																													gsb																																																										0
gems release gsb from stack of x30 zsb	1			0	18	70	30		1	zsb							zsb,qty=29																													gsb																																																										0
gems release gsb from stack of x29 zsb	1			0	18	70	29		1	zsb							zsb,qty=28																													gsb																																																										0
gems release gsb from stack of x28 zsb	1			0	18	70	28		1	zsb							zsb,qty=27																													gsb																																																										0
gems release gsb from stack of x27 zsb	1			0	18	70	27		1	zsb							zsb,qty=26																													gsb																																																										0
gems release gsb from stack of x26 zsb	1			0	18	70	26		1	zsb							zsb,qty=25																													gsb																																																										0
gems release gsb from stack of x25 zsb	1			0	18	70	25		1	zsb							zsb,qty=24																													gsb																																																										0
gems release gsb from stack of x24 zsb	1			0	18	70	24		1	zsb							zsb,qty=23																													gsb																																																										0
gems release gsb from stack of x23 zsb	1			0	18	70	23		1	zsb							zsb,qty=22																													gsb																																																										0
gems release gsb from stack of x22 zsb	1			0	18	70	22		1	zsb							zsb,qty=21																													gsb																																																										0
gems release gsb from stack of x21 zsb	1			0	18	70	21		1	zsb							zsb,qty=20																													gsb																																																										0
gems release gsb from stack of x20 zsb	1			0	18	70	20		1	zsb							zsb,qty=19																													gsb																																																										0
gems release gsb from stack of x19 zsb	1			0	18	70	19		1	zsb							zsb,qty=18																													gsb																																																										0
gems release gsb from stack of x18 zsb	1			0	18	70	18		1	zsb							zsb,qty=17																													gsb																																																										0
gems release gsb from stack of x17 zsb	1			0	18	70	17		1	zsb							zsb,qty=16																													gsb																																																										0
gems release gsb from stack of x16 zsb	1			0	18	70	16		1	zsb							zsb,qty=15																													gsb																																																										0
gems release gsb from stack of x15 zsb	1			0	18	70	15		1	zsb							zsb,qty=14																													gsb																																																										0
gems release gsb from stack of x14 zsb	1			0	18	70	14		1	zsb							zsb,qty=13																													gsb																																																										0
gems release gsb from stack of x13 zsb	1			0	18	70	13		1	zsb							zsb,qty=12																													gsb																																																										0
gems release gsb from stack of x12 zsb	1			0	18	70	12		1	zsb							zsb,qty=11																													gsb																																																										0
gems release gsb from stack of x11 zsb	1			0	18	70	11		1	zsb							zsb,qty=10																													gsb																																																										0
gems release gsb from stack of x10 zsb	1			0	18	70	10		1	zsb							zsb,qty=9																													gsb																																																										0
gems release gsb from stack of x9 zsb	1			0	18	70	9		1	zsb							zsb,qty=8																													gsb																																																										0
gems release gsb from stack of x8 zsb	1			0	18	70	8		1	zsb							zsb,qty=7																													gsb																																																										0
gems release gsb from stack of x7 zsb	1			0	18	70	7		1	zsb							zsb,qty=6																													gsb																																																										0
gems release gsb from stack of x6 zsb	1			0	18	70	6		1	zsb							zsb,qty=5																													gsb																																																										0
gems release gsb from stack of x5 zsb	1			0	18	70	5		1	zsb							zsb,qty=4																													gsb																																																										0
gems release gsb from stack of x4 zsb	1			0	18	70	4		1	zsb							zsb,qty=3																													gsb																																																										0
gems release gsb from stack of x3 zsb	1			0	18	70	3		1	zsb							zsb,qty=2																													gsb																																																										0
gems release gsb from stack of x2 zsb	1			0	18	70	2		1	zsb							zsb,qty=1																													gsb																																																										0
gems glb -> stackable qlb	1			0					1	glb							qlb																																																																																							0
gems stackable qlb -> glb	1			0	18	70	1		1	qlb							glb																																																																																							0
gems release glb from stack of x48 qlb	1			0	18	70	48		1	qlb							qlb,qty=47																													glb																																																										0
gems release glb from stack of x47 qlb	1			0	18	70	47		1	qlb							qlb,qty=46																													glb																																																										0
gems release glb from stack of x46 qlb	1			0	18	70	46		1	qlb							qlb,qty=45																													glb																																																										0
gems release glb from stack of x45 qlb	1			0	18	70	45		1	qlb							qlb,qty=44																													glb																																																										0
gems release glb from stack of x44 qlb	1			0	18	70	44		1	qlb							qlb,qty=43																													glb																																																										0
gems release glb from stack of x43 qlb	1			0	18	70	43		1	qlb							qlb,qty=42																													glb																																																										0
gems release glb from stack of x42 qlb	1			0	18	70	42		1	qlb							qlb,qty=41																													glb																																																										0
gems release glb from stack of x41 qlb	1			0	18	70	41		1	qlb							qlb,qty=40																													glb																																																										0
gems release glb from stack of x40 qlb	1			0	18	70	40		1	qlb							qlb,qty=39																													glb																																																										0
gems release glb from stack of x39 qlb	1			0	18	70	39		1	qlb							qlb,qty=38																													glb																																																										0
gems release glb from stack of x38 qlb	1			0	18	70	38		1	qlb							qlb,qty=37																													glb																																																										0
gems release glb from stack of x37 qlb	1			0	18	70	37		1	qlb							qlb,qty=36																													glb																																																										0
